Country,Average monthly net salary
Argentina,433
Australia,4026.45
Bangladesh,249.05
Belgium,2415.69
Botswana,468.01
Brazil,373.44
Canada,3132.77
Chile,579.4
Ecuador,494.62
Egypt,173.47
France,2365.12
Germany,2836.97
Hungary,793.66
Indonesia,331.77
Iran,390.09
Italy,1520.64
Malaysia,839.48
Mexico,669.99
Namibia,853.17
Pakistan,161.4
Peru,402.41
Philippines,290.21
Poland,1009.16
Romania,725.33
Russia,774.82
Singapore,4492.73
South Africa,1295.13
South Korea,2157.71
Spain,1740.81
United Arab Emirates,3701.41
United Kingdom,2672.91
Ukraine,396.38
United States of America,4145.45
