ILO region,Country,Reference year - Average hours per week,Average hours per week per employed person,Reference year - 49 or more hours per week,Share of employed working 49 or more hours per week
Asia and the Pacific,Afghanistan,2017,37.96,2014,27.9
Europe and Central Asia,Albania,2019,41.21,2019,22
Africa,Algeria,2017,43.7,2017,26
Americas,Argentina,2019,35.13,2019,19.9
Europe and Central Asia,Armenia,2019,39.85,2019,17
Americas,Aruba,2010,39.43,,
Asia and the Pacific,Australia,2018,33.23,2017,13.9
Europe and Central Asia,Austria,2020,34.16,2020,8
Europe and Central Asia,Azerbaijan,2019,36.88,2019,4.1
Asia and the Pacific,Bangladesh,2017,46.93,2017,50.4
Europe and Central Asia,Belarus,2019,35.5,2018,2.2
Europe and Central Asia,Belgium,2020,35.71,2020,7
Americas,Belize,2017,43,2017,27.3
Africa,Benin,2010,40.36,2011,28.9
Americas,Bermuda,2010,41.8,2010,21.2
Americas,Bolivia,2019,40.44,2009,35.1
Europe and Central Asia,Bosnia and Herzegovina,2019,40.99,2019,15.8
Africa,Botswana,2019,45.75,2010,34.9
Americas,Brazil,2020,35.11,2020,10.8
Asia and the Pacific,Brunei Darussalam,2019,46.1,2019,30.6
Europe and Central Asia,Bulgaria,2020,39.42,2020,1.1
Africa,Burkina Faso,2014,44.95,,
Africa,Burundi,2014,40.27,2014,21.5
Asia and the Pacific,Cambodia,2017,43.82,2017,56.1
Americas,Canada,2019,32.1,2020,10.6
Americas,Cayman Islands,2015,42,2015,18.4
Americas,Chile,2020,34.63,2020,13.3
Asia and the Pacific,China,2016,46.1,,
Americas,Colombia,2020,38.74,2015,29.4
Africa,Comoros,2014,42.55,2014,32.6
Africa,Congo,2009,48.61,2009,45.6
Africa,"Congo, Democratic Republic of the",2012,35.21,2012,21
Asia and the Pacific,Cook Islands,2019,37,2019,11.2
Americas,Costa Rica,2020,36.93,2020,20.3
Africa,Côte d'Ivoire,2017,44.31,2017,40.5
Europe and Central Asia,Croatia,2020,38.17,2020,4.5
Americas,Cuba,2010,41,2010,
Americas,Curaçao,2018,36.6,2018,5
,Czech Republic,2020,37.94,2020,8.3
Europe and Central Asia,Denmark,2020,34.23,2020,6.3
Americas,Dominican Republic,2019,38.79,2019,18.8
Americas,Ecuador,2016,37.9,2020,10.1
Africa,Egypt,2019,46.23,2017,30.9
Americas,El Salvador,2019,42.82,2019,31.4
Europe and Central Asia,Estonia,2020,37.19,2020,5.1
Africa,Eswatini,2016,43.65,2016,25.5
Africa,Ethiopia,2013,30.02,2013,20.2
Americas,Falkland Islands (Malvinas),2012,44.65,2016,26.8
Europe and Central Asia,Finland,2020,35.78,2020,7.3
Europe and Central Asia,France,2020,35.88,2020,9.1
Africa,Gambia,2018,49.84,2018,44.7
Europe and Central Asia,Georgia,2020,40.5,2020,21.7
Europe and Central Asia,Germany,2020,34.17,2020,5.9
Africa,Ghana,2017,39.83,2017,
Europe and Central Asia,Greece,2020,40.34,2020,
Americas,Honduras,2019,40.17,2019,34.3
Asia and the Pacific,"Hong Kong, China",2016,43,2016,29.9
Europe and Central Asia,Hungary,2020,38.05,2020,3.2
Europe and Central Asia,Iceland,2020,37.9,2020,14.3
Asia and the Pacific,India,2019,47.86,,
Asia and the Pacific,Indonesia,2015,39.27,2020,26.9
Asia and the Pacific,"Iran, Islamic Republic of",2019,44.62,2018,34.9
Arab States,Iraq,2014,41.6,2017,30.9
Europe and Central Asia,Ireland,2020,36.42,2020,9.3
Europe and Central Asia,Isle of Man,2013,35,,
Europe and Central Asia,Israel,2018,36,2017,15.7
Europe and Central Asia,Italy,2020,35.82,2020,7.8
Asia and the Pacific,Japan,2019,37.8,2019,18.3
