Country,Food Prices
Albania,81.51
Algeria,84.511
Angola,166.187
Ant.& Barb.,168.613
Argentina,122.409
Armenia,76.102
Aruba,148.766
Australia,153.54
Austria,144.994
Azerbaijan,55.135
Bahamas,156.742
Bahrain,110.878
Bangladesh,79.094
Barbados,182.578
Belarus,64.894
Belgium,129.24
Belize,119.772
Benin,81.566
Bermuda,181.645
Bhutan,69.481
Bolivia,68.3
Bosnia & Herz.,86.916
Botswana,98.008
Brazil,107.662
Brunei,103.366
Bulgaria,84.915
Burkina Faso,76.365
Burma,66.501
Burundi,91.02
C.A. Republic,118.033
Cambodia,79.02
Cameroon,83.269
Canada,137.341
Cape Verde,93.118
Chad,88.871
Chile,120.959
China,116.157
Colombia,89.73
Comoros,114.522
Costa Rica,128.254
Croatia,109.272
Cyprus,126.753
Czechia,93.819
DR Congo,93.419
Denmark,151.189
Djibouti,126.816
Domin. Rep.,104.939
Dominica,142.201
Ecuador,103.177
Egypt,52.288
El Salvador,86.25
Eq. Guinea,118.227
Estonia,106.699
Ethiopia,88.177
Fiji,94.463
Finland,135.333
France,132.25
G.-Bissau,91.334
Gabon,120.011
Gambia,75.281
Georgia,79.168
Germany,116.028
Ghana,101.488
Greece,121.131
Grenada,152.107
Guinea,96.107
Guyana,111.953
Haiti,96.997
Honduras,86.181
Hong Kong,151.611
Hungary,96.955
Iceland,179.378
India,58.758
Indonesia,90.192
Iran,98.98
Iraq,93.558
Ireland,139.882
Israel,171.324
Italy,129.286
Ivory Coast,90.055
Jamaica,121.475
Japan,188.076
Jordan,99.086
Kazakhstan,70.57
Kenya,80.809
Kuwait,119.752
Kyrgyzstan,67.277
Laos,82.267
Latvia,104.861
Lesotho,76.441
Liberia,135.175
Lithuania,90.458
Luxembourg,143.891
Madagascar,66.627
Malawi,61.3
Malaysia,76.82
Maldives,91.287
Mali,73.166
Malta,124.766
Mauritania,81.623
Mauritius,109.309
Mexico,88.741
Moldova,67.133
Mongolia,69.832
Montenegro,88.123
Montserrat,184.936
Morocco,88.869
Mozambique,77.653
Namibia,98.393
Nepal,64.251
Netherlands,115.836
New Zealand,163.691
Nicaragua,78.581
Niger,96.792
Nigeria,84.436
North Macedonia,70.633
Norway,187.477
Oman,97.292
Pakistan,70.188
Panama,111.213
Paraguay,83.414
Peru,100.45
Philippines,79.097
Poland,76.523
Portugal,111.797
Qatar,116.248
R. of Congo,119.386
Romania,73.693
Russia,78.411
Rwanda,62.541
S.T.&Principe,111.526
Saint Lucia,139.764
Saudi Arabia,99.678
Senegal,91.552
Serbia,86.232
Seychelles,120.276
Sierra Leone,68.911
Singapore,127.302
Slovakia,103.567
Slovenia,109.768
South Africa,92.413
South Korea,202.794
Spain,109.705
Sri Lanka,85.113
St. Vincent & ...,139.633
Sudan,67.426
Suriname,93.652
Swaziland,92.865
Sweden,142.433
Switzerland,197.397
Taiwan,124.157
Tajikistan,73.549
Tanzania,66.19
Thailand,79.409
Togo,105.906
Tr.&Tobago,134.92
Tunisia,61.571
Turkey,96.185
UA Emirates,128.869
UK,106.357
USA,123.827
Uganda,70.729
Ukraine,55.473
Uruguay,145.595
Vietnam,73.294
Zambia,86.645
Zimbabwe,101.714
