Country,Food waste
Australia,101.6978108
New Zealand,61
Kazakhstan,75.71311915
Kyrgyzstan,91.01617955
Tajikistan,97.22225073
Turkmenistan,75.71311915
Uzbekistan,91.01617955
China,63.91913418
"China, Hong Kong SAR",71.40541656
"China, Macao SAR",71.40541656
Dem. People's Rep. Korea,80.67137541
Japan,64.32186599
Mongolia,77.56833982
Republic of Korea,71.40541656
Belarus,68.3800655
Bulgaria,68.3800655
Czechia,69.86867244
Hungary,93.8252149
Poland,55.9403
Republic of Moldova,76.0315957
Romania,69.86867244
Russian Federation,33.37552065
Slovakia,69.86867244
Ukraine,76.0315957
Anguilla,*
Antigua and Barbuda,73.92076968
Argentina,72.43216273
Aruba,73.92076968
Bahamas,73.92076968
Barbados,73.92076968
Belize,52.67388881
Bolivia (Plurin. State of),80.08369293
"Bonaire, St. Eustatius & Saba",*
Brazil,59.59885387
British Virgin Islands,73.92076968
Cayman Islands,73.92076968
Chile,73.92076968
Colombia,70.431888
Costa Rica,72.43216273
Cuba,72.43216273
Curaçao,73.92076968
Dominica,72.43216273
Dominican Republic,72.43216273
Ecuador,72.43216273
El Salvador,80.08369293
Falkland Islands (Malvinas),*
French Guiana,*
Grenada,72.43216273
Guadeloupe,*
Guatemala,72.43216273
Guyana,72.43216273
Haiti,83.18672852
Honduras,80.08369293
Jamaica,72.43216273
Martinique,*
Mexico,93.90019458
Montserrat,*
Nicaragua,80.08369293
Panama,73.92076968
Paraguay,72.43216273
Peru,72.43216273
Puerto Rico,73.92076968
Saint Barthélemy,*
Saint Kitts and Nevis,73.92076968
Saint Lucia,72.43216273
Saint Martin (French part),73.92076968
Saint Vincent & Grenadines,72.43216273
Sint Maarten (Dutch part),73.92076968
Suriname,72.43216273
Trinidad and Tobago,73.92076968
Turks and Caicos Islands,73.92076968
United States Virgin Islands,73.92076968
Uruguay,73.92076968
Venezuela (Boliv. Rep. of),72.43216273
Fiji,75.71311915
New Caledonia,78.69033304
Papua New Guinea,91.01617955
Solomon Islands,91.01617955
Vanuatu,91.01617955
Guam,78.69033304
Kiribati,91.01617955
Marshall Islands,75.71311915
Micronesia (Fed. States of),91.01617955
Nauru,78.69033304
Northern Mariana Islands,78.69033304
Palau,78.69033304
Algeria,91.01617955
Egypt,91.01617955
Libya,75.71311915
Morocco,91.01617955
Sudan,97.22225073
Tunisia,91.01617955
