Country,GDP per capita (nominal) in 2018,GDP per capita (nominal) in 2019,Nominal rank in 2019,Nominal rank change,GDP per capita (PPP) in 2018,GDP per capita (PPP) in 2019,PPP rank in 2019,PPP rank change,(Nominal - PPP) in 2019
Luxembourg,116654,114705,1,0,116786,121293,2,0,-1
"Macao SAR, China",87209,84096,2,0,135021,129103,1,0,1
Switzerland,82818,81994,3,0,69357,70989,6,0,-3
Ireland,78621,78661,4,1,84460,88241,5,0,-1
Norway,81734,75420,5,-1,67640,66832,8,0,-3
Iceland,72969,66945,6,0,57742,60061,13,0,-7
United States,62997,65281,7,2,62997,65281,9,0,-2
Singapore,66189,65233,8,0,100051,101376,3,0,5
Qatar,68794,64782,9,-2,96733,96491,4,0,5
Denmark,61391,59822,10,0,57218,59830,14,1,-4
Australia,57396,54907,11,0,51036,53320,21,1,-10
Netherlands,53048,52448,12,1,57565,59687,15,-1,-3
Sweden,54589,51610,13,-1,53747,55815,18,0,-5
Austria,51525,50277,14,0,56871,59111,16,0,-2
"Hong Kong SAR, China",48543,48756,15,1,62513,62375,11,-1,4
Finland,50021,48686,16,-1,49373,51324,24,0,-8
San Marino,48481,47280,17,0,60750,61575,12,0,5
Germany,47639,46259,18,0,54457,56052,17,0,1
Canada,46313,46195,19,1,50078,51342,23,0,-4
Belgium,47491,46117,20,-1,52250,54545,20,0,0
Israel,41720,43641,21,4,40261,42194,36,0,-15
United Arab Emirates,43839,43103,22,-1,68549,69901,7,0,15
United Kingdom,43043,42300,23,-1,46956,48710,27,0,-4
New Zealand,42950,42084,24,-1,42811,43953,31,0,-7
Andorra,41793,40886,25,-1,-,-,-,-,-
France,41631,40494,26,0,46605,49435,25,3,0
Japan,39159,40247,27,0,41336,43236,32,1,-6
Italy,34520,33190,28,0,42816,44197,30,0,-3
"Bahamas, The",32218,32933,29,2,36338,37266,42,-1,-14
Puerto Rico,31622,32874,30,3,34921,35948,44,-1,-15
Kuwait,33994,32032,31,-2,51670,51912,22,-1,8
"Korea, Rep.",33340,31762,32,-2,42136,43029,33,-1,-2
Brunei Darussalam,31628,31087,33,-1,61814,64673,10,1,22
Spain,30338,29614,34,0,40483,42214,35,-1,-2
Malta,30133,29416,35,0,43555,45652,29,0,5
Cyprus,28690,27858,36,0,39737,41254,37,0,-2
Aruba,25366,25976,37,1,39345,40148,39,-1,-3
Slovenia,26055,25739,38,-1,38749,40657,38,1,-1
Taiwan Province of China,25008,24828,39,0,53074,55078,19,0,19
Estonia,23258,23660,40,3,36358,38811,40,0,-1
Bahrain,23991,23504,41,-1,47333,46892,28,-2,12
Portugal,23462,23145,42,-1,34341,36471,43,1,-2
Saudi Arabia,23339,23140,43,-1,48720,48908,26,-1,16
Czech Republic,23047,23102,44,0,40389,42576,34,1,9
St. Kitts and Nevis,19275,19896,45,2,26511,27449,58,1,-14
Greece,20324,19583,46,-1,30354,31399,51,-1,-6
Lithuania,19081,19455,47,1,35832,38214,41,1,5
Slovak Republic,19428,19329,48,-2,32575,34178,46,-1,1
Barbados,17745,18148,49,1,16045,16287,83,-1,-35
Latvia,17805,17836,50,-1,30645,32204,50,-1,-1
Antigua and Barbuda,16727,17790,51,2,21614,22816,66,0,-16
Seychelles,16391,17402,52,3,28657,30260,52,2,-1
Trinidad and Tobago,17130,17276,53,-1,26893,27261,60,-2,-8
Palau,15859,16736,54,4,18496,16235,84,-9,-31
Hungary,16151,16476,55,1,31579,33979,47,1,7
Uruguay,17278,16190,56,-5,22100,22455,67,-2,-12
Panama,15593,15731,57,2,31782,32762,48,-1,8
Poland,15461,15595,58,2,31834,34218,45,1,12
Oman,16415,15474,59,-5,29269,29052,56,-5,2
Chile,15925,14896,60,-3,24765,25155,61,0,-2
Croatia,14920,14853,61,0,28039,29973,53,4,7
Romania,12409,12920,62,0,29214,32297,49,3,12
Costa Rica,12112,12238,63,0,19873,20434,68,2,-6
St. Lucia,11358,11611,64,3,15622,16089,85,-1,-22
Russian Federation,11371,11585,65,1,28764,29181,55,-2,9
Malaysia,11373,11415,66,-1,28187,29526,54,1,11
Mauritius,11208,11204,67,1,22732,23942,63,0,3
Grenada,10486,10966,68,1,17198,17956,78,1,-11
Maldives,10331,10791,69,1,18945,19698,72,1,-4
China,9977,10262,70,2,15603,16785,82,3,-13
Argentina,11684,10006,71,-7,23283,22947,65,-3,5
Mexico,9673,9863,72,3,20396,20411,69,0,2
Bulgaria,9424,9738,73,3,22601,24561,62,2,10
Kazakhstan,9813,9731,74,-1,26147,27444,59,1,14
Nauru,9762,9397,75,-1,11758,12080,108,-1,-34
Turkey,9370,9042,76,1,28139,27875,57,-1,18
Montenegro,8850,8832,77,2,21236,22989,64,3,12
Brazil,9001,8717,78,0,14941,15259,92,-2,-15
