Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","210091","Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average)","20192021","2019-2021","%","70","A","Official figure","Official estimate integrated with FAO data"
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","210091M","Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average)","20192021","2019-2021","%","65.5","E","Estimated value",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","210091F","Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average)","20192021","2019-2021","%","82.9","E","Estimated value",""
"FS","Suite of Food Security Indicators","008","Albania","6121","Value","210091","Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average)","20192021","2019-2021","%","30.9","E","Estimated value",""
"FS","Suite of Food Security Indicators","008","Albania","6121","Value","210091M","Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average)","20192021","2019-2021","%","26.6","E","Estimated value",""
"FS","Suite of Food Security Indicators","008","Albania","6121","Value","210091F","Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average)","20192021","2019-2021","%","33.1","E","Estimated value",""
"FS","Suite of Food Security Indicators","012","Algeria","6121","Value","210091","Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average)","20192021","2019-2021","%","19","E","Estimated value",""
"FS","Suite of Food Security Indicators","012","Algeria","6121","Value","210091M","Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average)","20192021","2019-2021","%","18.7","E","Estimated value",""
"FS","Suite of Food Security Indicators","012","Algeria","6121","Value","210091F","Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average)","20192021","2019-2021","%","15.6","E","Estimated value",""
"FS","Suite of Food Security Indicators","016","American Samoa","6121","Value","210091","Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average)","20192021","2019-2021","%","","O","Missing value",""
"FS","Suite of Food Security Indicators","016","American Samoa","6121","Value","210091M","Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average)","20192021","2019-2021","%","","O","Missing value",""
"FS","Suite of Food Security Indicators","016","American Samoa","6121","Value","210091F","Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average)","20192021","2019-2021","%","","O","Missing value",""
"FS","Suite of Food Security Indicators","020","Andorra","6121","Value","210091","Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average)","20192021","2019-2021","%","","O","Missing value",""
"FS","Suite of Food Security Indicators","020","Andorra","6121","Value","210091M","Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average)","20192021","2019-2021","%","","O","Missing value",""
"FS","Suite of Food Security Indicators","020","Andorra","6121","Value","210091F","Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average)","20192021","2019-2021","%","","O","Missing value",""
"FS","Suite of Food Security Indicators","024","Angola","6121","Value","210091","Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average)","20192021","2019-2021","%","77.7","A","Official figure","Official estimate integrated with FAO data"
"FS","Suite of Food Security Indicators","024","Angola","6121","Value","210091M","Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average)","20192021","2019-2021","%","62.4","E","Estimated value",""
"FS","Suite of Food Security Indicators","024","Angola","6121","Value","210091F","Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average)","20192021","2019-2021","%","67.2","E","Estimated value",""
"FS","Suite of Food Security Indicators","028","Antigua and Barbuda","6121","Value","210091","Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average)","20192021","2019-2021","%","33","E","Estimated value",""
"FS","Suite of Food Security Indicators","028","Antigua and Barbuda","6121","Value","210091M","Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average)","20192021","2019-2021","%","28.9","E","Estimated value",""
"FS","Suite of Food Security Indicators","028","Antigua and Barbuda","6121","Value","210091F","Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average)","20192021","2019-2021","%","36.9","E","Estimated value",""
"FS","Suite of Food Security Indicators","032","Argentina","6121","Value","210091","Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average)","20192021","2019-2021","%","37","E","Estimated value",""
"FS","Suite of Food Security Indicators","032","Argentina","6121","Value","210091M","Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average)","20192021","2019-2021","%","30","E","Estimated value",""
"FS","Suite of Food Security Indicators","032","Argentina","6121","Value","210091F","Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average)","20192021","2019-2021","%","40.1","E","Estimated value",""
"FS","Suite of Food Security Indicators","051","Armenia","6121","Value","210091","Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average)","20192021","2019-2021","%","10.7","A","Official figure","Official estimate integrated with FAO data"
"FS","Suite of Food Security Indicators","051","Armenia","6121","Value","210091M","Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average)","20192021","2019-2021","%","28.6","E","Estimated value",""
"FS","Suite of Food Security Indicators","051","Armenia","6121","Value","210091F","Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average)","20192021","2019-2021","%","34.7","E","Estimated value",""
"FS","Suite of Food Security Indicators","036","Australia","6121","Value","210091","Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average)","20192021","2019-2021","%","11.9","E","Estimated value",""
"FS","Suite of Food Security Indicators","036","Australia","6121","Value","210091M","Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average)","20192021","2019-2021","%","10.5","E","Estimated value",""
"FS","Suite of Food Security Indicators","036","Australia","6121","Value","210091F","Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average)","20192021","2019-2021","%","10.5","E","Estimated value",""
"FS","Suite of Food Security Indicators","040","Austria","6121","Value","210091","Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average)","20192021","2019-2021","%","3.3","E","Estimated value",""
"FS","Suite of Food Security Indicators","040","Austria","6121","Value","210091M","Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average)","20192021","2019-2021","%","3.1","E","Estimated value",""
"FS","Suite of Food Security Indicators","040","Austria","6121","Value","210091F","Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average)","20192021","2019-2021","%","3.6","E","Estimated value",""
"FS","Suite of Food Security Indicators","031","Azerbaijan","6121","Value","210091","Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average)","20192021","2019-2021","%","9.5","E","Estimated value",""
"FS","Suite of Food Security Indicators","031","Azerbaijan","6121","Value","210091M","Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average)","20192021","2019-2021","%","9.3","E","Estimated value",""
"FS","Suite of Food Security Indicators","031","Azerbaijan","6121","Value","210091F","Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average)","20192021","2019-2021","%","9.4","E","Estimated value",""
"FS","Suite of Food Security Indicators","044","Bahamas","6121","Value","210091","Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average)","20192021","2019-2021","%","17.2","E","Estimated value",""
"FS","Suite of Food Security Indicators","044","Bahamas","6121","Value","210091M","Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average)","20192021","2019-2021","%","17.6","E","Estimated value",""
